Nom,Genre,Ville,Age,Revenu,Tolérance au Risque,Historique d'Investissement,Objectif Financier,Secteur Préféré,Fréquence d'Investissement,Domaine Recommandé
Dominique Henry du Lemoine,Homme,Toulouse,45,34827.34,Moyen,"Obligations, Immobilier",éducation des enfants,Immobilier,Trimestriel,Immobilier
Maggie Muller,Homme,Marseille,35,37935.94,Moyen,"Cryptomonnaies, Obligations",Retraite,Industrie,Trimestriel,Obligations
Susanne Parent,Femme,Marseille,51,61967.37,Moyen,"Actions, Fundraising",Retraite,Finance,Trimestriel,ETF
StÃ©phane Martineau,Homme,Lyon,25,31182.67,Moyen,"Cryptomonnaies, Actions, ETF",épargne de départ,Immobilier,Trimestriel,Immobilier
Adrien GuÃ©rin,Femme,Paris,35,101162.63,Élevé,"Cryptomonnaies, Actions, ETF, Fundraising",Retraite,Technologie,Mensuel,Cryptomonnaies
BenoÃ®t Letellier,Homme,Bordeaux,63,79929.69,Moyen,"Cryptomonnaies, Actions, Obligations",Retraite,Agriculture,Trimestriel,Obligations
Christophe-Xavier Paris,Homme,Paris,47,103894.3,Élevé,"Actions, ETF, Obligations",éducation des enfants,Technologie,Mensuel,Actions
Martine De Oliveira-Hamel,Homme,Toulouse,25,30948.89,Moyen,"MatiÃ¨res premiÃ¨res, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Capucine Guillou,Femme,Toulouse,25,24837.93,Moyen,"ETF, Obligations",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Jeannine Rolland de FranÃ§ois,Homme,Marseille,25,17124.36,Moyen,"Cryptomonnaies, Obligations, Immobilier",épargne de départ,Immobilier,Trimestriel,Immobilier
Yves Guillaume,Homme,Strasbourg,40,40918.23,Moyen,"Immobilier, Obligations",Retraite,Consommation,Trimestriel,Obligations
NoÃ«l Martins,Homme,Toulouse,48,45967.23,Moyen,"Fundraising, ETF, Immobilier",Achat immobilier,Technologie,Trimestriel,ETF
Corinne-PÃ©nÃ©lope Berthelot,Femme,Nice,46,98532.44,Élevé,"ETF, Obligations",Achat immobilier,Technologie,Mensuel,ETF
Alice Launay-Mace,Femme,Paris,26,44362.49,Élevé,"Cryptomonnaies, Obligations, Actions, Startups",épargne de départ,Immobilier,Annuel,Immobilier
Nicole Weber-Bernard,Femme,Nice,40,62728.46,Moyen,"ETF, Obligations",Retraite,Agriculture,Trimestriel,Obligations
Caroline Lemaire,Femme,Paris,33,32126.45,Moyen,"ETF, Immobilier",épargne de départ,Immobilier,Trimestriel,Immobilier
DorothÃ©e-Camille Petitjean,Femme,Strasbourg,37,43489.18,Moyen,"MatiÃ¨res premiÃ¨res, ETF",Retraite,Consommation,Trimestriel,Obligations
Gilbert Weber,Homme,Nantes,58,40194.14,Moyen,"ETF, Obligations",Retraite,Technologie,Trimestriel,ETF
Franck Weiss,Femme,Lyon,40,64114.45,Moyen,"ETF, Immobilier",Retraite,Agriculture,Trimestriel,Obligations
Bernadette Rossi-Lacroix,Homme,Lyon,47,86566.67,Élevé,"Immobilier, Actions, ETF, Obligations",Achat immobilier,Finance,Mensuel,ETF
Adrien de la Delaunay,Homme,Paris,52,117263.02,Élevé,"ETF, Obligations, Fundraising, Startups",Retraite,Santé,Mensuel,Actions
Jacques Moulin,Homme,Nantes,58,111608.54,Élevé,"Fundraising, Startups, Immobilier, Cryptomonnaies, ETF",Épargne de sécurité,Finance,Mensuel,ETF
ZoÃ© Coulon,Femme,Marseille,46,21085.85,Moyen,"Actions, Startups",Achat immobilier,Agriculture,Trimestriel,Obligations
Olivier-Richard Richard,Femme,Marseille,47,65656.12,Moyen,"Fundraising, Obligations",éducation des enfants,Technologie,Trimestriel,Actions
Camille Faure,Homme,Paris,39,53320.2,Moyen,"MatiÃ¨res premiÃ¨res, Actions, Immobilier",éducation des enfants,Finance,Trimestriel,ETF
FranÃ§ois Lemaire,Femme,Paris,42,55052.56,Moyen,ETF,éducation des enfants,Technologie,Trimestriel,Actions
David Guichard-Delaunay,Homme,Nice,47,101018.8,Élevé,"Actions, Obligations",Achat immobilier,Santé,Mensuel,ETF
Laurence Pires,Homme,Paris,50,100931.52,Élevé,"ETF, Obligations",Épargne de sécurité,Technologie,Mensuel,ETF
Gabriel Lecoq de Olivier,Homme,Lyon,46,101434.17,Élevé,"Actions, ETF, Obligations",éducation des enfants,Santé,Mensuel,Actions
Bernadette Le Roux-Laurent,Femme,Nantes,50,38233.32,Moyen,"Actions, ETF",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
JÃ©rÃ´me Dumont-Colas,Homme,Paris,41,53128.68,Moyen,"Cryptomonnaies, Actions, Startups",éducation des enfants,Santé,Trimestriel,Actions
Jean Robert,Femme,Paris,28,36019.64,Moyen,"Actions, ETF",Voyages,Immobilier,Trimestriel,Immobilier
Laetitia Delaunay,Homme,Paris,34,52549.36,Élevé,"Obligations, ETF, Immobilier",épargne de départ,Finance,Trimestriel,ETF
ValÃ©rie Martineau,Femme,Marseille,30,24845.99,Moyen,"Actions, ETF",Investir dans l'éducation,Industrie,Trimestriel,Obligations
Margaret Georges Le Mallet,Femme,Paris,34,61597.39,Élevé,"Immobilier, Investissement Socialement Responsable, ETF, Fundraising",Investir dans l'éducation,Santé,Trimestriel,Actions
Gabriel Charles Le Philippe,Homme,Toulouse,46,47796.82,Moyen,"Investissement Socialement Responsable, ETF, Immobilier",éducation des enfants,Technologie,Trimestriel,Actions
Charles du Blanchet,Femme,Montpellier,56,56595.93,Moyen,"Actions, Obligations",Retraite,Industrie,Trimestriel,Obligations
Odette Rodrigues,Homme,Marseille,49,72075.82,Moyen,"Actions, Fundraising",Retraite,Immobilier,Trimestriel,Immobilier
Roland Chevalier,Homme,Nice,51,72410.95,Moyen,"Actions, ETF, Obligations",Retraite,Technologie,Trimestriel,ETF
Ã‰lisabeth Perrin,Femme,Nice,41,76255.68,Élevé,"Immobilier, Obligations",Achat immobilier,Finance,Trimestriel,Actions
Ã‰dith Blanchet,Femme,Paris,36,60610.26,Élevé,"Immobilier, ETF, Obligations",éducation des enfants,Santé,Trimestriel,ETF
AimÃ©e-JosÃ©phine Fernandez,Femme,Lyon,25,35203.06,Élevé,"Immobilier, Actions, Obligations",Investir dans l'éducation,Immobilier,Annuel,Immobilier
Gabriel Baron,Femme,Paris,57,116636.49,Élevé,"Cryptomonnaies, Actions, Matières premières",Retraite,Finance,Mensuel,ETF
Richard-Hugues Fernandes,Femme,Paris,31,81118.78,Élevé,"Startups, Obligations",Investir dans l'éducation,Technologie,Mensuel,Startups
Georges Launay-Laporte,Homme,Lyon,43,81316.62,Élevé,"Obligations, Actions, Immobilier",éducation des enfants,Santé,Mensuel,ETF
Suzanne Couturier,Femme,Lyon,48,39932.07,Moyen,"Actions, ETF",éducation des enfants,Industrie,Trimestriel,Obligations
TimothÃ©e Marin,Homme,Nantes,52,72172.48,Moyen,"Cryptomonnaies, Actions, ETF",Épargne de sécurité,Consommation,Trimestriel,Obligations
Mathilde Descamps,Femme,Toulouse,43,66589.77,Moyen,"ETF, Obligations",Achat immobilier,Finance,Trimestriel,Actions
Nathalie-Martine Buisson,Femme,Bordeaux,41,53669.18,Moyen,"Actions, Obligations",éducation des enfants,Technologie,Trimestriel,Actions
Maggie Carre,Homme,Montpellier,44,49011.02,Moyen,"Actions, ETF",Achat immobilier,Technologie,Trimestriel,ETF
Isaac de Fournier,Homme,Paris,43,59640.64,Moyen,"Cryptomonnaies, Matières premières, ETF",Achat immobilier,Immobilier,Trimestriel,Immobilier
Alexandrie Gomez,Femme,Lyon,55,93192.09,Moyen,"Actions, Startups",Retraite,Immobilier,Trimestriel,Immobilier
Marianne Joubert,Femme,Paris,41,56490.46,Moyen,"MatiÃ¨res premiÃ¨res, Actions",éducation des enfants,Santé,Trimestriel,Actions
Marianne-Margot Berthelot,Femme,Marseille,43,48042.5,Moyen,"Cryptomonnaies, Obligations",Achat immobilier,Technologie,Trimestriel,Actions
ThÃ©odore Bouvet,Homme,Lyon,52,140079.64,Élevé,"Cryptomonnaies, Matières premières, ETF, Immobilier",Épargne de sécurité,Technologie,Mensuel,ETF
Louis Fouquet,Femme,Paris,25,48687.55,Élevé,"Actions, Obligations",Investir dans l'éducation,Santé,Annuel,ETF
NoÃ«l Becker,Homme,Paris,25,34255.79,Élevé,"Immobilier, Actions, Investissement Socialement Responsable, Obligations",Investir dans l'éducation,Immobilier,Annuel,Immobilier
Martin Traore,Homme,Montpellier,68,82005.19,Moyen,"Cryptomonnaies, Fundraising",Retraite,Finance,Trimestriel,ETF
FrÃ©dÃ©ric Texier du Boyer,Femme,Marseille,33,44648.35,Moyen,"MatiÃ¨res premiÃ¨res, Actions",Voyages,Immobilier,Trimestriel,Immobilier
Augustin-Roger HervÃ©,Homme,Nice,40,25234.35,Moyen,"Cryptomonnaies, Actions, ETF",Achat immobilier,Immobilier,Trimestriel,Immobilier
Susan Boutin de Buisson,Homme,Lyon,31,39752.05,Moyen,"Cryptomonnaies, ETF",Voyages,Agriculture,Trimestriel,Obligations
Laetitia Wagner,Femme,Bordeaux,40,33784.01,Moyen,"Actions, Obligations",Retraite,Finance,Trimestriel,ETF
MichÃ¨le Regnier,Femme,Strasbourg,51,65151.23,Moyen,Obligations,Épargne de sécurité,Santé,Trimestriel,ETF
Juliette du Roux,Homme,Nice,67,152346.48,Élevé,"Obligations, ETF, Startups",Retraite,Finance,Mensuel,ETF
Tristan Le Roux,Femme,Paris,42,56850.15,Moyen,"Cryptomonnaies, Obligations",Retraite,Industrie,Trimestriel,Obligations
Capucine-NoÃ©mi Laurent,Homme,Paris,48,73744.59,Moyen,"Cryptomonnaies, ETF, Obligations",Achat immobilier,Finance,Trimestriel,Actions
SÃ©bastien-Roger Martin,Femme,Nice,44,107814.53,Élevé,"Obligations, Actions, Immobilier",Achat immobilier,Santé,Mensuel,ETF
AdÃ©laÃ¯de-Suzanne Peltier,Homme,Paris,42,74089.39,Élevé,"MatiÃ¨res premiÃ¨res, Obligations, Actions, Immobilier",Retraite,Santé,Trimestriel,ETF
Louis Arnaud,Femme,Lyon,57,105768.47,Élevé,"Actions, ETF, Obligations",Retraite,Santé,Mensuel,ETF
FrÃ©dÃ©ric Mace-Daniel,Homme,Paris,27,49849.32,Élevé,"Cryptomonnaies, Actions, Obligations",épargne de départ,Immobilier,Annuel,Immobilier
ThÃ©ophile Roussel,Femme,Lyon,32,36594.9,Moyen,"Cryptomonnaies, Actions",Investir dans l'éducation,Consommation,Trimestriel,Obligations
Bernard Laine du Raynaud,Homme,Paris,30,35404.09,Moyen,"Immobilier, Obligations",épargne de départ,Agriculture,Trimestriel,Obligations
Gilbert Poulain,Femme,Paris,49,103952.12,Élevé,"Investissement Socialement Responsable, ETF, Obligations",Achat immobilier,Finance,Mensuel,ETF
Alfred Rodrigues,Femme,Toulouse,29,45782.82,Élevé,"Investissement Socialement Responsable, Immobilier",épargne de départ,Technologie,Annuel,ETF
Gilbert-Antoine Lamy,Homme,Lyon,52,131127.63,Élevé,"Actions, Obligations",Retraite,Santé,Mensuel,ETF
HonorÃ© Langlois,Homme,Lyon,28,47583.4,Élevé,"Immobilier, Actions, ETF, Obligations",Investir dans l'éducation,Immobilier,Annuel,Immobilier
Alexandre Marchand de la Fernandes,Homme,Marseille,45,62905.77,Moyen,"Actions, ETF",éducation des enfants,Santé,Trimestriel,ETF
NoÃ©mi Giraud,Homme,Nice,26,39001.55,Élevé,"Obligations, Actions, ETF, Immobilier",épargne de départ,Immobilier,Annuel,Immobilier
Jacqueline de GuÃ©rin,Femme,Bordeaux,51,58036.85,Moyen,"Actions, Obligations",Retraite,Technologie,Trimestriel,ETF
Bernadette Marques-Andre,Homme,Lille,25,20540.37,Moyen,"Obligations, Startups",épargne de départ,Immobilier,Trimestriel,Immobilier
FrÃ©dÃ©ric Payet,Homme,Nantes,65,78207.7,Moyen,"Actions, ETF, Immobilier",Épargne de sécurité,Technologie,Trimestriel,ETF
Suzanne Robert,Homme,Nice,25,41595.93,Élevé,"MatiÃ¨res premiÃ¨res, Actions, Immobilier",Investir dans l'éducation,Technologie,Annuel,Actions
Alphonse Gimenez,Homme,Paris,58,80013.93,Moyen,"ETF, Immobilier",Retraite,Finance,Trimestriel,ETF
Alphonse Coste,Femme,Nice,30,42414.92,Moyen,"Actions, Matières premières, Immobilier",Voyages,Santé,Trimestriel,Actions
Pauline LemaÃ®tre,Femme,Paris,36,34430.8,Moyen,"Immobilier, Obligations",Achat immobilier,Immobilier,Trimestriel,Immobilier
Louis-Christophe Lamy,Femme,Marseille,50,49871.85,Moyen,"MatiÃ¨res premiÃ¨res, ETF",Retraite,Immobilier,Trimestriel,Immobilier
Marcel Faivre du Guillot,Femme,Paris,25,40893.35,Élevé,"Immobilier, Cryptomonnaies, Obligations",épargne de départ,Santé,Annuel,ETF
Pierre-Thibault Delaunay,Homme,Lyon,36,67419.8,Élevé,"Immobilier, Cryptomonnaies, ETF, Obligations",Retraite,Santé,Trimestriel,ETF
Martine Bonneau,Homme,Strasbourg,47,31869.63,Moyen,"Immobilier, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
AdÃ¨le Salmon,Homme,Strasbourg,49,82297.6,Moyen,"MatiÃ¨res premiÃ¨res, Actions, ETF",éducation des enfants,Santé,Trimestriel,Actions
Alphonse Renaud,Femme,Marseille,40,32583.92,Moyen,"Cryptomonnaies, Obligations",Retraite,Santé,Trimestriel,ETF
Jules Richard,Homme,Lyon,25,41242.71,Élevé,"Cryptomonnaies, Obligations",Investir dans l'éducation,Immobilier,Annuel,Immobilier
Alexandre RiviÃ¨re,Homme,Marseille,28,22132.6,Moyen,"MatiÃ¨res premiÃ¨res, ETF",épargne de départ,Immobilier,Trimestriel,Immobilier
Alexandre du Lemaire,Femme,Toulouse,48,66553.81,Moyen,"Cryptomonnaies, Actions",Retraite,Santé,Trimestriel,ETF
Marthe Royer,Femme,Nice,38,39615.65,Moyen,"Obligations, Immobilier",Retraite,Industrie,Trimestriel,Obligations
Ã‰milie-Jeanne LeliÃ¨vre,Homme,Paris,44,59474.03,Moyen,"Immobilier, Obligations",Achat immobilier,Finance,Trimestriel,ETF
AndrÃ©-Joseph Dufour,Homme,Marseille,57,97069.45,Moyen,"Actions, ETF",Retraite,Industrie,Trimestriel,Obligations
Monique Riou,Femme,Paris,39,74318.33,Élevé,"Obligations, Actions, Immobilier",Retraite,Technologie,Trimestriel,Cryptomonnaies
Laurent Dubois,Homme,Nice,33,57959.13,Élevé,"Cryptomonnaies, Matières premières, ETF, Startups",Voyages,Finance,Trimestriel,ETF
Audrey Legros,Homme,Nice,25,27777.85,Moyen,"Cryptomonnaies, Obligations",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Zacharie Boyer,Homme,Lyon,62,137482.32,Élevé,"Cryptomonnaies, Actions, ETF, Startups",Épargne de sécurité,Technologie,Mensuel,Actions
Valentine Roussel-MarÃ©chal,Femme,Nantes,35,37443.82,Moyen,"MatiÃ¨res premiÃ¨res, Obligations",Retraite,Finance,Trimestriel,ETF
Sylvie Vasseur,Homme,Toulouse,25,19249.89,Moyen,"ETF, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Constance Mathieu,Femme,Nice,51,85167.69,Moyen,"Actions, ETF",Retraite,Santé,Trimestriel,ETF
Gilles-Julien Leconte,Femme,Lyon,25,26777.26,Moyen,"Cryptomonnaies, Immobilier",Voyages,Industrie,Trimestriel,Obligations
Bernadette Albert,Homme,Lyon,43,73528.07,Élevé,"MatiÃ¨res premiÃ¨res, Obligations, Actions, Immobilier",Achat immobilier,Finance,Trimestriel,ETF
LÃ©on-Victor Hoareau,Homme,Lyon,26,42701.05,Élevé,"Actions, Obligations",épargne de départ,Technologie,Annuel,Actions
ThÃ©ophile Duval,Homme,Paris,62,134377.88,Élevé,"Obligations, Actions, ETF, Startups",Épargne de sécurité,Technologie,Mensuel,ETF
Odette-Sophie Blin,Homme,Paris,57,103053.73,Moyen,"Actions, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Alix-Odette Benoit,Homme,Lyon,42,81150.18,Élevé,"Actions, ETF, Obligations",Retraite,Technologie,Mensuel,ETF
Martin Martins,Femme,Strasbourg,51,78414.25,Moyen,"Cryptomonnaies, Obligations",Retraite,Santé,Trimestriel,ETF
Jacques Le Salmon,Femme,Nantes,47,68659.41,Moyen,"Cryptomonnaies, Actions, Obligations",Retraite,Technologie,Trimestriel,ETF
FranÃ§ois Costa,Femme,Paris,39,52700.79,Moyen,"Actions, ETF, Obligations",Achat immobilier,Immobilier,Trimestriel,Immobilier
Juliette Le Goff,Femme,Lille,49,59733.3,Moyen,"Actions, ETF, Immobilier",Retraite,Consommation,Trimestriel,Obligations
Alphonse Joseph,Femme,Paris,43,94887.24,Élevé,"Actions, Obligations",éducation des enfants,Technologie,Mensuel,Actions
Thomas de ClÃ©ment,Femme,Paris,29,77463.34,Élevé,"Actions, ETF, Startups",Investir dans l'éducation,Technologie,Trimestriel,Actions
Marcel de la Faure,Femme,Toulouse,70,53016.97,Faible,"Fundraising, Startups",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
RÃ©my Pierre,Femme,Paris,48,70867.82,Moyen,"Cryptomonnaies, Fundraising, Immobilier",éducation des enfants,Immobilier,Trimestriel,Immobilier
Margaret Le Maury,Homme,Lyon,50,80476.48,Moyen,"Actions, Immobilier",Retraite,Technologie,Trimestriel,ETF
ThÃ©ophile Martel,Femme,Paris,56,29854.32,Faible,Actions,Retraite,Immobilier,Annuel,Immobilier
Margaux Pierre,Femme,Paris,38,90306.04,Élevé,"ETF, Immobilier",Achat immobilier,Technologie,Mensuel,Cryptomonnaies
Ã‰ric Brunet,Homme,Nice,48,79594.27,Moyen,"MatiÃ¨res premiÃ¨res, Immobilier",Retraite,Finance,Trimestriel,ETF
Alex Diaz,Femme,Paris,26,17515.87,Moyen,Immobilier,Voyages,Immobilier,Trimestriel,Immobilier
EugÃ¨ne Gilbert,Homme,Nantes,34,33623.69,Moyen,"Actions, Immobilier",Voyages,Industrie,Trimestriel,Obligations
Julien-Charles Tessier,Homme,Marseille,56,55747.45,Moyen,"Cryptomonnaies, Obligations",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Jeannine Bertrand,Homme,Bordeaux,49,69700.78,Moyen,"Actions, Obligations",Retraite,Agriculture,Trimestriel,Obligations
Alice Bodin,Femme,Toulouse,37,46311.61,Moyen,"Actions, ETF, Startups",Retraite,Finance,Trimestriel,ETF
Christiane Petitjean,Femme,Paris,25,49115.21,Élevé,"Actions, ETF, Obligations",épargne de départ,Technologie,Annuel,Actions
Pierre du Bernard,Femme,Lille,47,65764.35,Moyen,"Startups, Obligations, Immobilier",éducation des enfants,Immobilier,Trimestriel,Immobilier
Margaux-Alexandria Ramos,Homme,Paris,51,136212.62,Élevé,"Investissement Socialement Responsable, ETF, Startups",Retraite,Santé,Mensuel,Actions
Christophe Da Silva,Homme,Paris,39,49033.26,Moyen,"Fundraising, ETF, Obligations",Retraite,Finance,Trimestriel,ETF
Louis Bonnet,Homme,Nantes,56,66977.84,Moyen,"Actions, Obligations",Épargne de sécurité,Technologie,Trimestriel,ETF
Thierry Cousin,Femme,Nice,37,67128.62,Élevé,"Startups, Actions, ETF, Immobilier",Achat immobilier,Santé,Trimestriel,Actions
Ã‰lisabeth-Gabrielle Fleury,Homme,Lyon,46,118246.42,Élevé,"Immobilier, Fundraising, Obligations",Retraite,Finance,Mensuel,Actions
Constance-Christiane Chevalier,Homme,Lyon,32,56591.77,Élevé,"MatiÃ¨res premiÃ¨res, ETF, Immobilier",Investir dans l'éducation,Technologie,Trimestriel,Actions
Alphonse Jean,Femme,Toulouse,37,65342.16,Élevé,"Cryptomonnaies, Actions, ETF",éducation des enfants,Technologie,Trimestriel,ETF
NoÃ«l de la Morvan,Femme,Lyon,70,66542.7,Moyen,"Cryptomonnaies, ETF, Startups",Retraite,Technologie,Trimestriel,ETF
Adrien Chauveau du Laine,Femme,Montpellier,45,44636.98,Moyen,"Actions, ETF, Immobilier",Retraite,Finance,Trimestriel,ETF
Henri de Navarro,Femme,Nantes,30,34938.23,Moyen,"Cryptomonnaies, Obligations, Immobilier",Voyages,Industrie,Trimestriel,Obligations
Dominique BÃ¨gue,Homme,Bordeaux,25,22569.85,Moyen,"Cryptomonnaies, Actions, Immobilier",épargne de départ,Immobilier,Trimestriel,Immobilier
AnaÃ¯s Munoz,Femme,Toulouse,45,64949.29,Moyen,"ETF, Immobilier",éducation des enfants,Technologie,Trimestriel,ETF
AndrÃ©e Da Costa-Perez,Femme,Bordeaux,51,82161.27,Moyen,"Actions, Obligations",Retraite,Santé,Trimestriel,ETF
Antoinette Henry Le Grenier,Femme,Lyon,50,90402.02,Élevé,"Immobilier, Actions, ETF, Obligations",Retraite,Santé,Mensuel,ETF
Aurore Parent du HervÃ©,Femme,Paris,28,39999.85,Élevé,"Immobilier, Cryptomonnaies, Obligations",Investir dans l'éducation,Immobilier,Annuel,Immobilier
Danielle Schneider,Homme,Marseille,30,37225.22,Moyen,"Cryptomonnaies, Actions, Immobilier",Investir dans l'éducation,Consommation,Trimestriel,Obligations
David-Raymond Bruneau,Femme,Bordeaux,39,57760.99,Moyen,"Cryptomonnaies, Actions, Startups",Retraite,Finance,Trimestriel,ETF
Catherine Lebrun,Homme,Lyon,46,94628.55,Élevé,"Fundraising, Matières premières, Actions, Immobilier, Obligations",éducation des enfants,Finance,Mensuel,Actions
Claire Adam,Homme,Marseille,35,53620.03,Moyen,"Actions, Obligations",éducation des enfants,Technologie,Trimestriel,Actions
Sylvie du Camus,Homme,Nantes,40,44278.06,Moyen,"Actions, ETF",Retraite,Consommation,Trimestriel,Obligations
Auguste Da Costa,Femme,Marseille,49,84411.29,Moyen,"MatiÃ¨res premiÃ¨res, Actions",Achat immobilier,Immobilier,Trimestriel,Immobilier
Nicolas Besnard de la Bertin,Homme,Paris,63,101950.31,Moyen,"MatiÃ¨res premiÃ¨res, ETF, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Roland Foucher Le Buisson,Homme,Lyon,35,85216.23,Élevé,"Actions, Obligations",Achat immobilier,Technologie,Mensuel,Startups
Daniel Ferreira,Homme,Nice,44,59735.44,Moyen,"Cryptomonnaies, Immobilier",éducation des enfants,Santé,Trimestriel,Actions
Ã‰mile Dupuy,Femme,Paris,25,21008.72,Moyen,"Actions, Startups",épargne de départ,Consommation,Trimestriel,Obligations
ClÃ©mence Deschamps,Femme,Toulouse,33,44643.3,Moyen,"Startups, Actions, Fundraising",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Simone Didier,Femme,Lille,45,28261.02,Moyen,Actions,Achat immobilier,Agriculture,Trimestriel,Obligations
OcÃ©ane Faivre de Fabre,Homme,Lyon,45,91645.65,Élevé,"Obligations, Actions, Immobilier",éducation des enfants,Santé,Mensuel,Actions
Roland Rolland,Femme,Paris,52,138158.63,Élevé,"Obligations, ETF, Immobilier",Retraite,Finance,Mensuel,ETF
Nicolas Klein,Femme,Paris,42,102429.42,Élevé,"Immobilier, Startups, Obligations",Achat immobilier,Santé,Mensuel,ETF
NoÃ«l Le Roux,Femme,Nantes,37,30962.41,Moyen,"Immobilier, Obligations",Retraite,Technologie,Trimestriel,ETF
Danielle DuprÃ©,Femme,Marseille,37,38787.85,Moyen,"Cryptomonnaies, Matières premières, Startups",éducation des enfants,Immobilier,Trimestriel,Immobilier
Antoine Charpentier,Femme,Nantes,35,45890.37,Moyen,"Immobilier, Actions, Fundraising",Achat immobilier,Finance,Trimestriel,Actions
Juliette Bouchet,Femme,Bordeaux,47,79243.62,Moyen,Immobilier,éducation des enfants,Santé,Trimestriel,ETF
Thierry Brun,Femme,Nice,42,68769.04,Moyen,Actions,Retraite,Agriculture,Trimestriel,Obligations
RenÃ©e Becker,Femme,Paris,58,70901.7,Moyen,ETF,Retraite,Industrie,Trimestriel,Obligations
Valentine Guillon de Le Roux,Homme,Bordeaux,36,38374.59,Moyen,"ETF, Obligations",Retraite,Finance,Trimestriel,ETF
EugÃ¨ne Munoz,Femme,Paris,27,37026.53,Élevé,"Investissement Socialement Responsable, Actions, ETF, Obligations",épargne de départ,Industrie,Annuel,Obligations
Margaret Pires,Homme,Marseille,52,74850.3,Moyen,Actions,Retraite,Immobilier,Trimestriel,Immobilier
MichÃ¨le Martinez du Aubert,Homme,Toulouse,38,62346.99,Élevé,"Immobilier, Cryptomonnaies, Matières premières, Obligations",Achat immobilier,Finance,Trimestriel,Actions
FranÃ§oise-Jeannine Mace,Femme,Lyon,34,62725.32,Élevé,"Immobilier, Cryptomonnaies, Actions, Obligations",Voyages,Finance,Trimestriel,Actions
JÃ©rÃ´me Roussel,Homme,Lyon,50,104596.44,Élevé,"Cryptomonnaies, Actions, Immobilier",Épargne de sécurité,Santé,Mensuel,Actions
Diane Le Gall,Homme,Marseille,41,57758.13,Moyen,"Investissement Socialement Responsable, Obligations",Retraite,Finance,Trimestriel,ETF
Michelle Faivre,Homme,Nantes,44,46393.59,Moyen,"Cryptomonnaies, Fundraising, Startups",Achat immobilier,Santé,Trimestriel,ETF
Henriette Colin,Homme,Strasbourg,44,72774.54,Moyen,"Obligations, Actions, Immobilier",Retraite,Santé,Trimestriel,ETF
AdÃ¨le Cohen,Homme,Paris,53,38868.12,Moyen,"Actions, Obligations",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Thibaut Vallet,Femme,Lyon,43,89994.24,Élevé,"Actions, Investissement Socialement Responsable, ETF, Obligations",éducation des enfants,Santé,Mensuel,Actions
Benjamin Weiss Le Toussaint,Femme,Paris,37,45259.49,Moyen,"ETF, Obligations",Retraite,Consommation,Trimestriel,Obligations
NoÃ«l Chartier,Femme,Marseille,46,56410.96,Moyen,Actions,Achat immobilier,Finance,Trimestriel,Actions
FrÃ©dÃ©rique Delattre,Femme,Montpellier,34,34334.98,Moyen,"Obligations, ETF, Immobilier",Voyages,Immobilier,Trimestriel,Immobilier
BenoÃ®t Regnier,Homme,Paris,32,39192.23,Moyen,"Cryptomonnaies, Actions",Investir dans l'éducation,Agriculture,Trimestriel,Obligations
Marine Lacroix,Femme,Paris,39,65346.01,Élevé,"Cryptomonnaies, Matières premières, ETF, Immobilier",éducation des enfants,Santé,Trimestriel,Actions
Robert de la Leconte,Homme,Marseille,40,54502.06,Moyen,"Cryptomonnaies, Obligations",Achat immobilier,Santé,Trimestriel,ETF
Lucas Henry,Homme,Paris,26,56291.21,Élevé,"Immobilier, Actions, ETF, Obligations",Investir dans l'éducation,Finance,Trimestriel,ETF
Olivie Le Gall,Homme,Paris,29,20139.65,Moyen,Obligations,épargne de départ,Immobilier,Trimestriel,Immobilier
Camille Godard de Navarro,Homme,Strasbourg,42,53560.27,Moyen,"Cryptomonnaies, Immobilier",éducation des enfants,Immobilier,Trimestriel,Immobilier
Marc Marin,Femme,Paris,58,59118.01,Moyen,"Immobilier, Obligations",Épargne de sécurité,Agriculture,Trimestriel,Obligations
SÃ©bastien Guilbert de la Cohen,Femme,Paris,39,56938.84,Moyen,"Investissement Socialement Responsable, Cryptomonnaies, Actions",Achat immobilier,Santé,Trimestriel,Actions
Anastasie Laine,Homme,Lille,43,59259.46,Moyen,"Actions, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Capucine Valette-Bonneau,Femme,Paris,44,97857.82,Élevé,"Cryptomonnaies, Actions, Obligations",Achat immobilier,Finance,Mensuel,ETF
Dominique de Chauvin,Femme,Toulouse,50,67209.62,Moyen,"Actions, Obligations",Retraite,Finance,Trimestriel,ETF
Hugues-Michel Lagarde,Homme,Strasbourg,44,43852.48,Moyen,"Cryptomonnaies, Actions",Retraite,Immobilier,Trimestriel,Immobilier
